[losses voc0.5 s2] ASL@lr0.01             last10 mAP=44.59 (5.4 min)
[losses voc0.5 s2] DBLoss@lr0.01          last10 mAP= 7.71 (5.5 min)
[losses voc0.5 s2] WBCE@lr0.01            last10 mAP=71.95 (5.4 min)
[losses coco0.5 s0] FocalBCE@lr0.003       last10 mAP=11.09 (4.6 min)
[losses coco0.5 s0] ASL@lr0.003            last10 mAP=18.85 (4.6 min)
[losses coco0.5 s0] DBLoss@lr0.003         last10 mAP= 8.33 (4.5 min)
[losses coco0.5 s0] WBCE@lr0.003           last10 mAP=36.81 (4.4 min)
[losses coco0.5 s0] FocalBCE@lr0.001       last10 mAP=20.12 (4.5 min)
[losses coco0.5 s0] ASL@lr0.001            last10 mAP=20.30 (4.4 min)
[losses coco0.5 s0] DBLoss@lr0.001         last10 mAP=11.58 (4.7 min)
[losses coco0.5 s0] WBCE@lr0.001           last10 mAP=27.68 (4.5 min)
[losses coco0.5 s0] FocalBCE@lr0.01        last10 mAP= 3.77 (4.3 min)
[losses coco0.5 s0] ASL@lr0.01             last10 mAP= 3.77 (4.3 min)
[losses coco0.5 s0] DBLoss@lr0.01          last10 mAP= 3.77 (4.3 min)
[losses coco0.5 s0] WBCE@lr0.01            last10 mAP=42.52 (4.3 min)
[losses coco0.5 s1] FocalBCE@lr0.003       last10 mAP= 3.77 (4.4 min)
[losses coco0.5 s1] ASL@lr0.003            last10 mAP=18.47 (4.4 min)
[losses coco0.5 s1] DBLoss@lr0.003         last10 mAP= 6.29 (4.4 min)
[losses coco0.5 s1] WBCE@lr0.003           last10 mAP=35.63 (4.4 min)
[losses coco0.5 s1] FocalBCE@lr0.001       last10 mAP=18.25 (4.7 min)
[losses coco0.5 s1] ASL@lr0.001            last10 mAP=19.79 (4.7 min)
[losses coco0.5 s1] DBLoss@lr0.001         last10 mAP=11.16 (4.7 min)
[losses coco0.5 s1] WBCE@lr0.001           last10 mAP=24.71 (4.7 min)
[losses coco0.5 s1] FocalBCE@lr0.01        last10 mAP= 3.77 (4.7 min)
[losses coco0.5 s1] ASL@lr0.01             last10 mAP= 3.76 (4.6 min)
[losses coco0.5 s1] DBLoss@lr0.01          last10 mAP= 3.77 (4.1 min)
[losses coco0.5 s1] WBCE@lr0.01            last10 mAP=40.98 (3.2 min)
[losses coco0.5 s2] FocalBCE@lr0.003       last10 mAP= 3.77 (3.0 min)
[losses coco0.5 s2] ASL@lr0.003            last10 mAP=19.23 (3.1 min)
[losses coco0.5 s2] DBLoss@lr0.003         last10 mAP= 8.56 (3.1 min)
[losses coco0.5 s2] WBCE@lr0.003           last10 mAP=36.87 (3.1 min)
[losses coco0.5 s2] FocalBCE@lr0.001       last10 mAP=21.21 (3.1 min)
[losses coco0.5 s2] ASL@lr0.001            last10 mAP=18.86 (3.1 min)
[losses coco0.5 s2] DBLoss@lr0.001         last10 mAP=10.97 (2.6 min)
[losses coco0.5 s2] WBCE@lr0.001           last10 mAP=26.99 (2.5 min)
[losses coco0.5 s2] FocalBCE@lr0.01        last10 mAP= 3.77 (2.5 min)
[losses coco0.5 s2] ASL@lr0.01             last10 mAP= 3.77 (2.5 min)
[losses coco0.5 s2] DBLoss@lr0.01          last10 mAP= 3.77 (2.5 min)
[losses coco0.5 s2] WBCE@lr0.01            last10 mAP=42.70 (2.5 min)
REVISION_GROUP_DONE losses
